Type,Label
TQSQ,JustificativaSelectQuery
TQSQ,JustificativaUpdateQuery
TQSQ,JustificativaInsertQuery
TQSQ,SP_getIndicCentro
TQSQ,SP_getDadosGrafico
TQSQ,SP_getIndicPainel
TQSQ,SP_getCentro
TQSQ,SP_deleteIndicCentro
TQSQ,SP_createIndicCentro
TQSQ,SP_getRealAcumIndic
TQSQ,SP_getIndicDispCentro
TQSQ,SP_getPrevAcumIndic
TQSQ,UpdateDataFinalUltimaVersao
TQSQ,PlanoGraficoProjecaoMetricasDadosSelectQuery
TQSQ,Centro
TQSQ,PlanoGrupoPRCTempSelectQuery
TQSQ,safraPercentSelectQuery
TQSQ,SQL_GET_TIPOS_INTER
TQSQ,GetSafraDatas
TQSQ,EDAmostraIDSelectQuery
TQSQ,SQL_UPD_INTERFACE
TQSQ,ComboEquipamentoAllSelectQuery
TQSQ,Select_Plano_Meta
TQSQ,SQL_INS_INTERFACE_LOG
TQSQ,LocalVigenciaPassadoSelectQuery
TQSQ,LocalVigenciaSelectQuery
TQSQ,connDefaultMetricaUSM
TQSQ,TipoVigenciaSelectQuery
TQSQ,Insert_Plano_Meta
TQSQ,BuscaVersoesSafraAtualSelectQuery
TQSQ,GetLastVersion
TQSQ,MaterialVigenciaSelectQuery
TQSQ,AreaSelectQuery
TQSQ,AtualizaVersoesSafraAtualUpdateQuery
TQSQ,SafraGrupoListSelectQuery
TQSQ,Material
TQSQ,BuscaVersaoPrevistoMetaSelectQueryBKP
TQSQ,PlanoGraficoProjecaoMetricasSelectQuery
TQSQ,SafraInfoSelectQuery
TQSQ,PlanoGrupoFormulaPRCSelectQuery
TQSQ,PlanoFormulaSafraWeekMonth
TQSQ,AtualizaHorasHorarioVeraoUpdateQuery
TQSQ,SQL_GET_INTERFACES
TQSQ,Get_Centros
TQSQ,PlanoGrupoPRCSelectQuery
TQSQ,ComboMaterialAllSelectQuery
TQSQ,EquipamentoVigenciaSelectQuery
TQSQ,LocalSelectQuery
TQSQ,BuscaVersaoPrevistoMetaSelectQuery
TQSQ,TipoVigenciaPassadoSelectQuery
TQSQ,UnidadesMedida
TQSQ,SQL_GET_LOGS_ERRO
TQSQ,connDefaultUBV
TQSQ,TipoSelectQuery
TQSQ,EquipamentoVigenciaPassadoSelectQuery
TQSQ,Insert_Plano_Safra
TQSQ,Select_Plano_Safra
TQSQ,Update_Plano_Meta
TQSQ,SafraGrupoPeriodoSelectQuery
TQSQ,Update_Plano_Safra
TQSQ,MaterialSelectQuery
TQSQ,GetMetasSafra
TQSQ,PlanoFormulaSafraDay
TQSQ,MaterialVigenciaPassadoSelectQuery
TQSQ,Update_Valid
TQSQ,PlanoFormulaSafraMeta
TQSQ,GetTurnoFixedQuery
TQSQ,PlanoFormulaQuery
TQSQ,SQL_INS_INTERFACE
TQSQ,ComboTipoAllSelectQuery
TQSQ,PlanoGrupoFormulaPRCGraficoSelectQuery
TQSQ,Planta
TQSQ,PlanoGrupoPRCGraficoSelectQuery
TQSQ,MII-PI_Query
TQSQ,SqlMsgGetIdAvisoFixedQuery
TQSQ,SqlIndicadoresPorGrupoFixedQuery
TQSQ,SqlConfigGetIdGrupoFixedQuery
TQSQ,SqlConfigListaGruposFixedQuery
TQSQ,SqlAvisosAtivosFixedQuery
TQSQ,SqlIndicadoresDestaquePeriodoFixedQuery
TQSQ,SqlIndicadoresDestaquePorDataPeriodoIndicFixedQuery
TQSQ,SqlConfigListaIndicadoresPorGrupoFixedQuery
TQSQ,SqlInformacoesPainelFixedQuery
TQSQ,SqlGruposIndicadoresFixedQuery
TQSQ,SqlConfigListaGruposOrdenadosFixedQuery
TQSQ,SqlConfigListaMetricasFixedQuery
TQSQ,SqlIndicadoresFixedQuery
TQSQ,SqlMsgAvisosPorStatusFixedQuery
TQSQ,SQLQuery_Metric_N9
TQSQ,SQLQuery_Metric_N5
TQSQ,SQLQuery_Metric_N13
TQSQ,SQLQuery_Metric_N12
TQSQ,SQLQuery_Metric_N4
TQSQ,SQLQuery_Metric_N8
TQSQ,SQLQuery_Metric_N3
TQSQ,SQLQuery_Metric_N15
TQSQ,SQLQuery_Metric_N18
TQSQ,SQLQuery_Metric_N14
TQSQ,SQLQuery_Metric_N2
TQSQ,SQLQuery_Metric_N10_DiaAnterior
TQSQ,SQLQuery_Metric_N17
TQSQ,SQLQuery_Metric_N1
TQSQ,SQLQuery_Metric_N16
TQSQ,SQLQuery_Metric_N11
TQSQ,SQLQuery_Metric_N7
TQSQ,SQLQuery_Metric_N6
TQSQ,SQLQuery_Metric_N10
TQSQ,MES_PonderacaoLabTag
TQSQ,InsumosSelectQuery
TQSQ,HorasParadaSelectQuery
TQSQ,SAP_Prod
TQSQ,MES_InsumosQuery
TQSQ,poderacaoLabMoagemSelectQuery
TQSQ,datasSafraSelectQuery
TQSQ,DataEntrySelectQuery
TQSQ,datasSafraPESelectQuery
TQSQ,PIMS_PesoPalhaQuery
TQSQ,sapVarsSelectQuery
TQSQ,EngineMetricProcessaAgendamento
TQSQ,GetAcumulado
TQSQ,EngineMetricGranulometryScanGroup
TQSQ,GetSemana
TQSQ,EngineMetricExpressionSelectQuery
TQSQ,queryViewGranulometrySelectQuery
TQSQ,EngineMetricLogInsertQuery
TQSQ,EngineMetricDependentesSelectQuery
TQSQ,EngineMetricTestaNivelMetrica
TQSQ,GetMetricaDetailsInDate
TQSQ,EngineMetricHistoryInsertQuery
TQSQ,GetDia
TQSQ,EngineMetricAgendamentoSelectQuery
TQSQ,EngineMetricAgendamentoInsertQuery
TQSQ,EngineMetricExpressionInDate
TQSQ,GetMes
TQSQ,EngineMetricQueryAgendamentoSelectQuery
TQSQ,EngineMetricEspecificaSelectQuery
TQSQ,queryViewSelectQuery
TQSQ,EngineMetricPendenciasSelectQuery
TQSQ,EngineMetricDistinctSelectQuery_old
TQSQ,EngineMetricNivelScanGroup
TQSQ,EngineMetricDistinctSelectQuery
TQSQ,EngineMetricSelectQuery
TQSQ,AP_LogsRotinaQuery
TQSQ,SendMailSelectQuery
TQSQ,AP_CadastroQueryGroups
TQSQ,AP_CadastroQueryGroups1
TQSQ,ValIndicadorHistoricoDeleteQuery
TQSQ,AP_ParametroInsertDelete
TQSQ,ValIndicadorSelectQuery
TQSQ,MConfigScangroupSelectQuery
TQSQ,GetMetaSelectQuery
TQSQ,MesExistenciaSelectedQuery
TQSQ,GetDadosMetricaNaData
TQSQ,GetComentariosDaMetrica
TQSQ,AP_LogsQuery
TQSQ,AP_ParametroExistencia
TQSQ,MetricExpressionSelectQuery
TQSQ,AP_ExistenciaUnidadeMedidaSelectQuery
TQSQ,GetListaMetricasExistenciaSelectQuery
TQSQ,Ap_ParametrosExistenciaValorInsertQuery
TQSQ,Ap_ParametrosExistenciaValorSelectQuery
TQSQ,BrowserTipoQuery
TQSQ,MesExistenciaInsertUpdateDelete
TQSQ,MES_ExistenciaIdExistenciaSelectQuery
TQSQ,AP_EstruturaMetricasSelectQuery
TQSQ,AP_PersistirMetricExpression
TQSQ,GetHistoricoDaMetricaConsolidadoMensalTransposto
TQSQ,MConfigCategoriaSelectQuery
TQSQ,GetLimitesLabSelectQuery
TQSQ,GetHistoricoDaMetricaDispersaoMensal
TQSQ,GetStartEndDayWeek
TQSQ,AP_GetMetricaScangroup
TQSQ,METRIC_INSERT_DELET_UPDATE_Ap_metricDefinitions
TQSQ,AP_EstruturaMedicaoSelectQuery
TQSQ,MetricasMetricDefinitionsSelectQuery
TQSQ,ValDashboardSelectQuery
TQSQ,GetHistoricoDaMetricaConsolidadoMensal
TQSQ,Metrica_LimitesValorSelectQuery
TQSQ,ponderacaoInsertQuery
TQSQ,UpdateMetricComments
TQSQ,ponderacaoUpdateQuery
TQSQ,InsertMetricComments
TQSQ,ValIndicadorHistoricoInsertQuery
TQSQ,MetricaExpression_IDtoNameSelectQuery
TQSQ,ValIndicadorHistoricoSelectQuery
TQSQ,ValIndicadorHistoricoUpdateQuery
TQSQ,ValIndicadorAllSelectQuery
TQSQ,GetListaGranulometrias
TQSQ,ValIndicadorHistoricoCheckSelectQuery
TQSQ,ponderacaoEnsaioSelectQuery
TQSQ,Ap_ParametrosDescricaoSelectQuery
TQSQ,SendMailDestinationSelectQuery
TQSQ,MetricasDadosPISelectQuery
TQSQ,Metrica_ListSelectQuery
TQSQ,Ap_GrupoExistenciaSelectQuery
TQSQ,Metrica_Granulometria
TQSQ,GetHistoricoDaMetricaSimples
TQSQ,Metrica_ValorInsertQuery
TQSQ,LogExec_sp_limpaLog
TQSQ,MetricaExpression_EfeitosSelectQuery
TQSQ,GetDadosExistenciaMedidor
TQSQ,GetValorMetricaNaData
TQSQ,GetHistoricoDaMetricaResumoAnualMensal
TQSQ,Ap_ParametrosDisponiveis
TQSQ,LAB_UltimaAnaliseDia2
TQSQ,LAB_ENSAIO_TOT_SAFRA
TQSQ,LAB_MediaPeriodo
TQSQ,LAB_descricaoAmostra
TQSQ,LAB_UltimaAnaliseDia_TAB
TQSQ,LAB_ENSAIO_TOT_INSERT
TQSQ,LAB_ENSAIO_TOT
TQSQ,LAB_UltimaAnaliseDia
TQSQ,LAB_AnalisesPonderadas
TQSQ,LAB_AnPeriodoAmostraCaracteristica
TQSQ,LAB_MediaDiaria
TQSQ,VerificarSafraPE
TQSQ,validarFontes
TQSQ,VerificarSafraAnoPE
TQSQ,VerificarSafra
TQSQ,scangroupsQuery
TQSQ,scangroupsMgntScreenQuery
TQSQ,nivelQuery
TQSQ,DshMrcUpdRecord2Command
TQSQ,DashMetrics
TQSQ,Metric
TQSQ,DshMrcInsRecordCommand
TQSQ,DshMrcDelRecordCommand
TQSQ,DshMrcUpdRecord4Command
TQSQ,DshMrcDelRecord2Command
TQSQ,DshMrcUpdRecordCommand
TQSQ,DshMrcUpdRecord3Command
TQSQ,DshMrcGetRecordFixedQuery
TQSQ,DshMrcUpdRecord5Command
TQSQ,DshMrcInsRecordPeriodCommand
TQSQ,DshMrcGetMaxRecordFixedQuery
TQSQ,DashCombo
TQSQ,ParamRelacionamentosGenericoSQLQuery2
TQSQ,MESTipoMedidorSelectQuery
TQSQ,MES_MetricasExistenciaSelectQuery
TQSQ,MES_MetricasExistenciaProcedureInsertDelete
TQSQ,ScanGroupSelect
TQSQ,AP_ExistenciaCategoriaSelectQuery
TQSQ,TreeView
TQSQ,RemoveRegistrosHorarioVeraoDeleteQuery
TQSQ,MesExistenciaGrupoSelectedQuery
TQSQ,MES_MedidoresExistenciaSelectQuery
TQSQ,TreeViewCadastro
TQSQ,ScanGroupMetricaSelect
TQSQ,GetParamMedidorLaboratorioSelectQuery
TQSQ,ParamRelacionamentosGenericoSQLQuery1
TQSQ,INTERFACES
TQSQ,ERROS
TQSQ,UPDATE_LOGS
TQSQ,UPDATE_INTERFACE
TQSQ,Command
TQSQ,SQL
TQSQ,UPDATE
TQSQ,INSERT
TQSQ,SQL_METRICA
TQSQ,SQL_UNIDMEDID
TQSQ,AuditoriaFinalSP_CONFIRCONSUMSELECT
TQSQ,AuditoriaFinalSP_CONFIR_CONSUM_NS
TQSQ,AuditoriaFinalSP_REGISTCONFIRCONSUM
TQSQ,MTC
TQSQ,MTC2
TQSQ,Get_UNID_MED
TQSQ,Get_NUM_ORDER
TQSQ,Get_QTD_PLAN
TQSQ,Get_QTD_REAL
TQSQ,STATUS
TQSQ,GET_DESC
TQSQ,SQL_DESC_FASE
TQSQ,UPDT_CRHE
TQSQ,UDPT_MSHD
TQSQ,SQL_MSHD
TQSQ,UPDT_MSEL
TQSQ,INDICADORES
