Type,FullName,Label
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Update_MSEL_MSHD,Ger_Update_MSEL_MSHD
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Features,Ger_Features
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN05,IntSAP_SistAgricola_Insert_ZCAN05
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Data_Features,Ger_Data_Features
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/CtrlRecipeSyncron,CtrlRecipeSyncron
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN04,IntSAP_SistAgricola_Update_ZCAN04
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/InsumosRealDataSelectQuery,InsumosRealDataSelectQuery
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/GetSchedStartOrderFixedQuery,GetSchedStartOrderFixedQuery
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_ParadaMoenda_Insert,IntSAP_ParadaMoenda_Insert
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Mat_Storage,Get_Mat_Storage
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_ParadaMoenda,Get_ParadaMoenda
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_UpdateQuery,Get_Calendar_NUBV_UpdateQuery
TQXC,/SaoMartinho/SaoMartinho/SAP/Queries/Xct_Status_Details,Xct_Status_Details
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_SelectQuery,Get_Calendar_NUBV_SelectQuery
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Calendar_NUBV_InsertQuery,Get_Calendar_NUBV_InsertQuery
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_ParadaMoenda_Update,IntSAP_ParadaMoenda_Update
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN05,IntSAP_SistAgricola_Update_ZCAN05
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Teste_Edinei,Teste_Edinei
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN04,IntSAP_SistAgricola_Insert_ZCAN04
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Get_Products,Get_Products
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_Update_SAP_MSHD,Ger_Update_SAP_MSHD
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Ger_ReceitasControle,Ger_ReceitasControle
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_CrtlRecipe_SEL_CRHE,IntSAP_CrtlRecipe_SEL_CRHE
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Insert_ZCAN03,IntSAP_SistAgricola_Insert_ZCAN03
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SAP_MSHD_Insert,IntSAP_SAP_MSHD_Insert
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/InsumosMaterialBrowser,InsumosMaterialBrowser
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/IntSAP_SistAgricola_Update_ZCAN02,IntSAP_SistAgricola_Update_ZCAN02
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Verif_MSID_Exist,Verif_MSID_Exist
TQSQ,/SaoMartinho/SaoMartinho/SAP/Queries/Insert_Meta_Safra,Insert_Meta_Safra
