SOURCE_TYPE,SOURCE_NAME,EDGES,TARGET_TYPE,TARGET_NAME
TQSQ,IntSAP_SistAgricola_Insert_ZCAN04,INSERT,TABLE,SAP_ZCAN04
TQSQ,Get_Products,SELECT,TABLE,SAP_CRTLRECIPE_TYPE
TQSQ,Ger_Update_SAP_MSHD,UPDATE,TABLE,SAP_MSHD
TQSQ,Ger_ReceitasControle,SELECT,TABLE,SAP_CRHE
TQSQ,IntSAP_CrtlRecipe_SEL_CRHE,SELECT,TABLE,SAP_CRHE
TQSQ,IntSAP_SistAgricola_Insert_ZCAN03,INSERT,TABLE,SAP_ZCAN03
TQSQ,IntSAP_SAP_MSHD_Insert,INSERT,TABLE,UBVISTA.SAP_MSHD
TQSQ,InsumosMaterialBrowser,SELECT,TABLE,UBV_MATERIAL_INSUMOS
TQSQ,IntSAP_SistAgricola_Update_ZCAN02,UPDATE,TABLE,SAP_ZCAN02
TQSQ,Verif_MSID_Exist,SELECT,TABLE,SAP_MSHD
TQSQ,Insert_Meta_Safra,INSERT,TABLE,UBV_META
TQSQ,IntSAP_SistAgricola_Update_ZCAN03,UPDATE,TABLE,SAP_ZCAN03
TQSQ,Ger_Update_SAP_MSEL,UPDATE,TABLE,SAP_MSEL
TQSQ,Select_Real_Safra,SELECT,TABLE,UBVISTA.UBV_REAL_SAFRA
TQXC,Xct_Instructions,CALL,TRX,Get_Instructions
TQSQ,IntSAP_SistAgricola_Insert_ZCAN02,INSERT,TABLE,SAP_ZCAN02
TQSQ,MonitorIntReadInterfaceList,SELECT,TABLE,UBV_INTERFACE
TQXC,Xct_Status_Moviments,CALL,TRX,Ger_Movimentos_Status
TQSQ,Insert_Real_Safra,INSERT,TABLE,UBV_REAL_SAFRA
TQSQ,IntSAP_CrtlRecipe_Insert_CRFV,INSERT,TABLE,SAP_CRFV
TQSQ,Select_Meta_Safra,SELECT,TABLE,UBV_META
TQXC,GetFilePrevAcum,CALL,TRX,IntSAP_Prev_Acum_TXT
TQSQ,IntSAP_SAP_MSEL_Insert,INSERT,TABLE,SAP_MSEL
TQXC,Xct_Send_Order,CALL,TRX,IntSAP_CrtlRecipe_Send
TQSQ,Update_Real_Safra,UPDATE,TABLE,UBV_REAL_SAFRA
TQXC,MonitorIntGetXMLXacute,CALL,TRX,MonitorIntGetXML
TQXC,Xct_Grid_Insumos_Previsto,CALL,TRX,Grid_Insumos_Previsto
TQSQ,IntSAP_SistAgricola_Insert_ZCAN01,INSERT,TABLE,SAP_ZCAN01
TQSQ,Update_Meta_Safra,UPDATE,TABLE,UBV_META
TQSQ,IntSAP_SistAgricola_Query_ZCAN02,SELECT,TABLE,SAP_ZCAN02
